algName,netName,clusteringName,numberOfRealThreads,convergence,broadcasting,seed,database,elapsedTime(s),shd,dfMM_avg,dfMM_plus,dfMM_minus,iterations,bdeu
cges,pigs,HierarchicalClustering,2,c2,RANDOM_BROADCASTING,61,pigs09,45.49,0.0,0.0,0.0,0.0,6.0,-1674930.847815675
cges,pigs,HierarchicalClustering,2,c2,RANDOM_BROADCASTING,67,pigs09,51.489,0.0,0.0,0.0,0.0,9.0,-1674927.0831009997
cges,pigs,HierarchicalClustering,2,c2,RANDOM_BROADCASTING,71,pigs09,48.224,0.0,0.0,0.0,0.0,9.0,-1674927.0831009997
cges,pigs,HierarchicalClustering,8,c2,RANDOM_BROADCASTING,83,pigs00,27.102,0.0,0.0,0.0,0.0,13.0,-1673954.5478698711
cges,pigs,HierarchicalClustering,2,c2,RANDOM_BROADCASTING,73,pigs09,50.635,0.0,0.0,0.0,0.0,9.0,-1674974.5530712763
cges,pigs,HierarchicalClustering,2,c2,RANDOM_BROADCASTING,79,pigs09,47.021,0.0,0.0,0.0,0.0,7.0,-1674931.3474032818
cges,pigs,HierarchicalClustering,2,c2,RANDOM_BROADCASTING,83,pigs09,47.306,0.0,0.0,0.0,0.0,9.0,-1674921.0610318587
cges,pigs,HierarchicalClustering,2,c2,RANDOM_BROADCASTING,89,pigs09,51.631,0.0,0.0,0.0,0.0,10.0,-1674974.5530712763
cges,pigs,HierarchicalClustering,2,c2,RANDOM_BROADCASTING,97,pigs09,43.583,0.0,0.0,0.0,0.0,6.0,-1674980.9727834032
cges,pigs,HierarchicalClustering,2,c2,RANDOM_BROADCASTING,101,pigs09,45.406,0.0,0.0,0.0,0.0,7.0,-1675007.0587957506
cges,pigs,HierarchicalClustering,2,c2,RANDOM_BROADCASTING,103,pigs09,47.639,0.0,0.0,0.0,0.0,8.0,-1674980.257353881
cges,pigs,HierarchicalClustering,2,c2,RANDOM_BROADCASTING,107,pigs09,48.545,0.0,0.0,0.0,0.0,8.0,-1674927.0831009997
cges,pigs,HierarchicalClustering,2,c2,RANDOM_BROADCASTING,109,pigs09,70.761,4.0,14.0,14.0,14.0,6.0,-1675352.8966393915
cges,pigs,HierarchicalClustering,2,c2,RANDOM_BROADCASTING,113,pigs09,57.513,0.0,0.0,0.0,0.0,9.0,-1674927.0831009997
cges,pigs,HierarchicalClustering,8,c2,RANDOM_BROADCASTING,89,pigs00,27.56,0.0,0.0,0.0,0.0,13.0,-1673844.3105202264
cges,pigs,HierarchicalClustering,4,c2,RANDOM_BROADCASTING,2,pigs09,26.45,14.0,48.0,48.0,48.0,9.0,-1676341.850894908
cges,pigs,HierarchicalClustering,4,c2,RANDOM_BROADCASTING,3,pigs09,36.314,1.0,4.0,4.0,4.0,16.0,-1675312.5816952598
cges,pigs,HierarchicalClustering,4,c2,RANDOM_BROADCASTING,5,pigs09,35.588,4.0,12.0,12.0,12.0,13.0,-1675881.8909058152
cges,pigs,HierarchicalClustering,4,c2,RANDOM_BROADCASTING,7,pigs09,38.461,2.0,8.0,8.0,8.0,13.0,-1675343.2516791234
cges,pigs,HierarchicalClustering,4,c2,RANDOM_BROADCASTING,11,pigs09,31.821,12.0,44.0,44.0,44.0,10.0,-1676563.6482694547
cges,pigs,HierarchicalClustering,4,c2,RANDOM_BROADCASTING,13,pigs09,37.34,5.0,16.0,16.0,16.0,16.0,-1675601.5808012215
cges,pigs,HierarchicalClustering,4,c2,RANDOM_BROADCASTING,17,pigs09,29.629,31.0,88.0,82.0,82.0,7.0,-1678691.2049160101
cges,pigs,HierarchicalClustering,4,c2,RANDOM_BROADCASTING,19,pigs09,31.698,4.0,16.0,16.0,16.0,13.0,-1675549.989348186
cges,pigs,HierarchicalClustering,4,c2,RANDOM_BROADCASTING,23,pigs09,29.526,10.0,32.0,32.0,32.0,11.0,-1675983.3748440922
cges,pigs,HierarchicalClustering,4,c2,RANDOM_BROADCASTING,29,pigs09,32.159,25.0,84.0,80.0,80.0,7.0,-1678636.130270933
cges,pigs,HierarchicalClustering,8,c2,RANDOM_BROADCASTING,97,pigs00,33.927,5.0,16.0,14.0,14.0,16.0,-1674650.256967877
cges,pigs,HierarchicalClustering,4,c2,RANDOM_BROADCASTING,31,pigs09,35.395,12.0,48.0,48.0,48.0,15.0,-1676386.1461421761
cges,pigs,HierarchicalClustering,4,c2,RANDOM_BROADCASTING,37,pigs09,35.768,11.0,46.0,46.0,46.0,15.0,-1676458.951754686
cges,pigs,HierarchicalClustering,4,c2,RANDOM_BROADCASTING,41,pigs09,34.343,5.0,20.0,20.0,20.0,15.0,-1675616.0188872702
cges,pigs,HierarchicalClustering,4,c2,RANDOM_BROADCASTING,43,pigs09,33.773,2.0,8.0,8.0,8.0,13.0,-1675317.4539711874
cges,pigs,HierarchicalClustering,4,c2,RANDOM_BROADCASTING,47,pigs09,30.266,5.0,20.0,20.0,20.0,11.0,-1675647.4728359429
cges,pigs,HierarchicalClustering,4,c2,RANDOM_BROADCASTING,53,pigs09,29.469,9.0,28.0,26.0,26.0,11.0,-1676219.9568040895
cges,pigs,HierarchicalClustering,4,c2,RANDOM_BROADCASTING,59,pigs09,38.496,19.0,62.0,62.0,62.0,16.0,-1676883.8034883232
cges,pigs,HierarchicalClustering,4,c2,RANDOM_BROADCASTING,61,pigs09,41.088,14.0,52.0,52.0,52.0,17.0,-1676394.2746779681
cges,pigs,HierarchicalClustering,4,c2,RANDOM_BROADCASTING,67,pigs09,33.009,5.0,16.0,16.0,16.0,14.0,-1675946.3162640606
