algName,netName,clusteringName,numberOfRealThreads,convergence,broadcasting,database,elapsedTime(s),shd,dfMM_avg,dfMM_plus,dfMM_minus,iterations,bdeu
cges,andes,HierarchicalClustering,8,c2,PAIR_BROADCASTING,andes09,18.261,211.0,480.0,132.0,132.0,15.0,-473933.7912228608
cges,andes,HierarchicalClustering,8,c2,PAIR_BROADCASTING,andes10,18.464,273.0,678.0,276.0,276.0,10.0,-475480.9597644312
cges,andes,HierarchicalClustering,8,c2,PAIR_BROADCASTING,andes_ALL,43.066,431.0,1218.0,896.0,896.0,9.0,-5177590.2685844945
cges,link,HierarchicalClustering,1,c2,ALL_BROADCASTING,link00,388.0,898.0,1830.0,556.0,556.0,6.0,-1125675.1968383125
cges,link,HierarchicalClustering,1,c2,ALL_BROADCASTING,link01,408.081,976.0,2038.0,696.0,696.0,5.0,-1150963.9822840565
cges,link,HierarchicalClustering,1,c2,ALL_BROADCASTING,link02,420.072,962.0,1960.0,644.0,644.0,5.0,-1141799.6554619665
cges,link,HierarchicalClustering,1,c2,ALL_BROADCASTING,link03,408.503,987.0,2024.0,692.0,692.0,6.0,-1143733.4141397867
cges,link,HierarchicalClustering,1,c2,ALL_BROADCASTING,link04,415.341,967.0,1976.0,670.0,670.0,5.0,-1136835.048538122
cges,link,HierarchicalClustering,1,c2,ALL_BROADCASTING,link05,456.596,952.0,1938.0,676.0,676.0,6.0,-1140464.417277376
cges,link,HierarchicalClustering,1,c2,ALL_BROADCASTING,link06,414.713,979.0,1996.0,678.0,678.0,6.0,-1140026.121585102
cges,link,HierarchicalClustering,1,c2,ALL_BROADCASTING,link07,414.837,929.0,1904.0,600.0,600.0,5.0,-1136673.9702109275
cges,link,HierarchicalClustering,1,c2,ALL_BROADCASTING,link08,403.871,1005.0,2082.0,730.0,730.0,6.0,-1154964.9811219007
cges,link,HierarchicalClustering,1,c2,ALL_BROADCASTING,link09,422.94,925.0,1866.0,582.0,582.0,6.0,-1129933.8504797688
cges,link,HierarchicalClustering,1,c2,ALL_BROADCASTING,link10,428.464,921.0,1878.0,598.0,598.0,6.0,-1128579.9759764282
cges,link,HierarchicalClustering,1,c2,ALL_BROADCASTING,link_ALL,546.912,668.0,1368.0,436.0,436.0,5.0,-1.1847254569155417E7
cges,link,HierarchicalClustering,1,c2,NO_BROADCASTING,link00,418.388,898.0,1830.0,556.0,556.0,6.0,-1125675.1968383125
cges,link,HierarchicalClustering,1,c2,NO_BROADCASTING,link01,408.521,976.0,2038.0,696.0,696.0,5.0,-1150963.9822840565
cges,link,HierarchicalClustering,1,c2,NO_BROADCASTING,link02,413.621,962.0,1960.0,644.0,644.0,5.0,-1141799.6554619665
cges,link,HierarchicalClustering,1,c2,NO_BROADCASTING,link03,427.955,987.0,2024.0,692.0,692.0,6.0,-1143733.4141397867
cges,link,HierarchicalClustering,1,c2,NO_BROADCASTING,link04,419.19,967.0,1976.0,670.0,670.0,5.0,-1136835.048538122
cges,link,HierarchicalClustering,1,c2,NO_BROADCASTING,link05,464.364,952.0,1938.0,676.0,676.0,6.0,-1140464.417277376
cges,link,HierarchicalClustering,1,c2,NO_BROADCASTING,link06,426.544,979.0,1996.0,678.0,678.0,6.0,-1140026.121585102
cges,link,HierarchicalClustering,1,c2,NO_BROADCASTING,link07,422.958,929.0,1904.0,600.0,600.0,5.0,-1136673.9702109275
cges,link,HierarchicalClustering,1,c2,NO_BROADCASTING,link08,414.7,1005.0,2082.0,730.0,730.0,6.0,-1154964.9811219007
