algName,netName,clusteringName,numberOfRealThreads,convergence,broadcasting,database,elapsedTime(s),shd,dfMM_avg,dfMM_plus,dfMM_minus,iterations,bdeu
cges,pigs,HierarchicalClustering,4,c2,BEST_BROADCASTING,pigs03,28.185,20.0,72.0,72.0,72.0,10.0,-1677364.8805980342
cges,pigs,HierarchicalClustering,4,c2,BEST_BROADCASTING,pigs04,36.836,3.0,12.0,12.0,12.0,16.0,-1676460.102606163
cges,pigs,HierarchicalClustering,4,c2,BEST_BROADCASTING,pigs05,33.911,3.0,12.0,12.0,12.0,14.0,-1676895.7751550653
cges,pigs,HierarchicalClustering,4,c2,BEST_BROADCASTING,pigs06,39.755,13.0,36.0,36.0,36.0,18.0,-1676110.958410128
cges,pigs,HierarchicalClustering,4,c2,BEST_BROADCASTING,pigs07,31.644,0.0,0.0,0.0,0.0,13.0,-1675408.4906346675
cges,pigs,HierarchicalClustering,4,c2,BEST_BROADCASTING,pigs08,33.996,8.0,32.0,32.0,32.0,14.0,-1677993.0277575268
cges,pigs,HierarchicalClustering,4,c2,BEST_BROADCASTING,pigs09,31.583,6.0,24.0,24.0,24.0,12.0,-1675828.6601953884
cges,pigs,HierarchicalClustering,4,c2,BEST_BROADCASTING,pigs10,35.663,4.0,16.0,16.0,16.0,16.0,-1675338.670135688
cges,pigs,HierarchicalClustering,4,c2,BEST_BROADCASTING,pigs_ALL,64.619,0.0,0.0,0.0,0.0,13.0,-1.824278293347706E7
cges,pigs,HierarchicalClustering,8,c2,BEST_BROADCASTING,pigs00,37.581,4.0,16.0,16.0,16.0,21.0,-1674603.5999636033
cges,pigs,HierarchicalClustering,8,c2,BEST_BROADCASTING,pigs01,36.507,1.0,2.0,2.0,2.0,20.0,-1673434.7569797952
cges,pigs,HierarchicalClustering,8,c2,BEST_BROADCASTING,pigs02,39.88,4.0,16.0,16.0,16.0,22.0,-1675155.8261607587
cges,pigs,HierarchicalClustering,8,c2,BEST_BROADCASTING,pigs03,33.744,14.0,48.0,48.0,48.0,17.0,-1676877.3237839395
cges,pigs,HierarchicalClustering,8,c2,BEST_BROADCASTING,pigs04,41.228,11.0,28.0,26.0,26.0,21.0,-1678908.874682555
cges,pigs,HierarchicalClustering,8,c2,BEST_BROADCASTING,pigs05,41.557,3.0,16.0,16.0,16.0,22.0,-1676860.1998773788
cges,pigs,HierarchicalClustering,8,c2,BEST_BROADCASTING,pigs06,29.098,4.0,16.0,16.0,16.0,15.0,-1675513.788989022
cges,pigs,HierarchicalClustering,8,c2,BEST_BROADCASTING,pigs07,31.275,8.0,24.0,24.0,24.0,17.0,-1675845.373506063
cges,pigs,HierarchicalClustering,8,c2,BEST_BROADCASTING,pigs08,33.925,9.0,30.0,30.0,30.0,18.0,-1678049.3935973463
cges,pigs,HierarchicalClustering,8,c2,BEST_BROADCASTING,pigs09,31.912,4.0,16.0,16.0,16.0,16.0,-1675496.1997350915
cges,pigs,HierarchicalClustering,8,c2,BEST_BROADCASTING,pigs10,33.315,4.0,16.0,16.0,16.0,18.0,-1675408.854130018
cges,pigs,HierarchicalClustering,8,c2,BEST_BROADCASTING,pigs_ALL,78.97,0.0,0.0,0.0,0.0,17.0,-1.824278494284187E7
